time,open,high,low,close,volume
2019-09-23 23:59:59.999,209.55000000,209.55000000,209.55000000,209.55000000,0.01000000
2019-09-24 23:59:59.999,195.50000000,195.50000000,152.56000000,167.09000000,2224.36708000
2019-09-25 23:59:59.999,166.84000000,174.15000000,163.18000000,170.00000000,181.60286000
2019-09-26 23:59:59.999,169.95000000,170.77000000,153.07000000,166.69000000,545.45350000
2019-09-27 23:59:59.999,166.34000000,175.54000000,161.44000000,173.69000000,630.91688000
2019-09-28 23:59:59.999,174.14000000,175.05000000,168.43000000,172.84000000,158.67273000
2019-09-29 23:59:59.999,173.92000000,173.92000000,165.02000000,169.46000000,1365.66487000
2019-09-30 23:59:59.999,169.40000000,181.08000000,165.61000000,180.64000000,1462.69491000
2019-10-01 23:59:59.999,180.43000000,185.59000000,173.45000000,175.66000000,1145.93635000
2019-10-02 23:59:59.999,175.83000000,181.01000000,173.91000000,180.44000000,429.18857000
2019-10-03 23:59:59.999,180.58000000,180.58000000,169.99000000,174.61000000,663.66412000
2019-10-04 23:59:59.999,174.91000000,178.94000000,170.93000000,175.72000000,639.72813000
2019-10-05 23:59:59.999,175.01000000,176.66000000,172.33000000,176.04000000,444.76459000
2019-10-06 23:59:59.999,176.25000000,176.63000000,167.97000000,170.19000000,432.94126000
2019-10-07 23:59:59.999,170.07000000,181.87000000,168.88000000,179.94000000,663.15443000
2019-10-08 23:59:59.999,180.89000000,184.56000000,177.43000000,180.71000000,470.50028000
2019-10-09 23:59:59.999,180.56000000,195.43000000,179.44000000,192.81000000,1125.24298000
2019-10-10 23:59:59.999,192.82000000,194.18000000,187.03000000,191.12000000,643.14385000
2019-10-11 23:59:59.999,191.58000000,196.42000000,179.64000000,180.58000000,2733.21683000
2019-10-12 23:59:59.999,180.61000000,184.57000000,178.00000000,179.73000000,1852.27890000
2019-10-13 23:59:59.999,179.32000000,184.37000000,178.55000000,181.05000000,2183.27900000
2019-10-14 23:59:59.999,180.80000000,187.47000000,180.49000000,186.73000000,2057.30732000
2019-10-15 23:59:59.999,186.76000000,188.31000000,177.88000000,180.64000000,2603.38186000
2019-10-16 23:59:59.999,180.48000000,181.15000000,172.29000000,174.56000000,2788.06167000
2019-10-17 23:59:59.999,174.56000000,178.87000000,172.67000000,177.14000000,2420.30849000
2019-10-18 23:59:59.999,177.30000000,177.37000000,168.64000000,172.79000000,2128.54381000
2019-10-19 23:59:59.999,172.84000000,174.85000000,169.94000000,171.58000000,1777.62676000
2019-10-20 23:59:59.999,171.86000000,176.39000000,169.38000000,175.15000000,1467.63899000
2019-10-21 23:59:59.999,174.95000000,177.90000000,171.63000000,174.04000000,1628.36338000
2019-10-22 23:59:59.999,173.90000000,174.94000000,170.28000000,171.28000000,2108.43858000
2019-10-23 23:59:59.999,171.06000000,171.35000000,153.44000000,162.14000000,5100.69619000
2019-10-24 23:59:59.999,162.32000000,163.05000000,158.80000000,160.33000000,6688.38900000
2019-10-25 23:59:59.999,160.29000000,187.37000000,160.29000000,181.37000000,3933.76907000
2019-10-26 23:59:59.999,181.42000000,196.98000000,174.00000000,179.47000000,6012.15421000
2019-10-27 23:59:59.999,179.57000000,188.52000000,176.24000000,183.88000000,5245.64149000
2019-10-28 23:59:59.999,183.68000000,189.43000000,180.36000000,181.51000000,2860.96538000
2019-10-29 23:59:59.999,181.65000000,192.72000000,181.34000000,190.52000000,2958.42192000
2019-10-30 23:59:59.999,190.54000000,191.57000000,179.98000000,182.98000000,2489.72203000
2019-10-31 23:59:59.999,183.27000000,185.20000000,177.79000000,182.43000000,2163.93680000
2019-11-01 23:59:59.999,181.91000000,184.29000000,178.03000000,182.79000000,1018.52550000
2019-11-02 23:59:59.999,183.15000000,185.49000000,181.76000000,182.86000000,384.27763000
2019-11-03 23:59:59.999,183.00000000,184.59000000,179.08000000,181.35000000,311.23661000
2019-11-04 23:59:59.999,181.68000000,188.43000000,180.42000000,185.80000000,430.41322000
2019-11-05 23:59:59.999,185.71000000,191.77000000,183.00000000,188.70000000,717.54367000
2019-11-06 23:59:59.999,188.58000000,194.14000000,187.90000000,191.26000000,542.30710000
2019-11-07 23:59:59.999,190.91000000,191.92000000,185.05000000,186.90000000,447.92232000
2019-11-08 23:59:59.999,186.76000000,188.18000000,181.72000000,183.61000000,863.15950000
2019-11-09 23:59:59.999,183.62000000,185.63000000,182.75000000,184.87000000,295.34768000
2019-11-10 23:59:59.999,184.70000000,191.32000000,183.47000000,189.10000000,942.54275000
2019-11-11 23:59:59.999,189.12000000,190.03000000,184.19000000,184.83000000,594.11034000
2019-11-12 23:59:59.999,184.48000000,187.39000000,182.80000000,186.89000000,755.24726000
2019-11-13 23:59:59.999,187.06000000,189.52000000,185.34000000,187.89000000,501.02049000
2019-11-14 23:59:59.999,188.54000000,188.56000000,183.38000000,184.88000000,759.95161000
2019-11-15 23:59:59.999,184.92000000,186.69000000,177.97000000,180.09000000,894.75713000
2019-11-16 23:59:59.999,179.99000000,183.41000000,179.28000000,182.36000000,301.17578000
2019-11-17 23:59:59.999,182.48000000,185.81000000,180.22000000,183.75000000,746.57442000
2019-11-18 23:59:59.999,183.68000000,183.93000000,175.09000000,178.27000000,896.14943000
2019-11-19 23:59:59.999,178.08000000,178.48000000,173.00000000,175.98000000,667.46308000
2019-11-20 23:59:59.999,175.96000000,177.41000000,173.50000000,174.67000000,385.37451000
2019-11-21 23:59:59.999,174.44000000,175.72000000,157.29000000,160.95000000,1542.26599000
2019-11-22 23:59:59.999,161.11000000,162.69000000,138.76000000,150.00000000,2095.77075000
2019-11-23 23:59:59.999,149.85000000,154.18000000,146.21000000,151.70000000,408.04744000
2019-11-24 23:59:59.999,152.50000000,152.57000000,138.76000000,140.13000000,419.34405000
2019-11-25 23:59:59.999,139.79000000,151.39000000,131.57000000,145.78000000,1452.57960000
2019-11-26 23:59:59.999,146.84000000,149.88000000,143.66000000,147.37000000,282.95957000
2019-11-27 23:59:59.999,147.52000000,155.33000000,140.99000000,152.63000000,1037.60794000
2019-11-28 23:59:59.999,153.25000000,154.47000000,149.16000000,150.72000000,472.12819000
2019-11-29 23:59:59.999,150.57000000,156.91000000,150.24000000,154.28000000,393.12481000
2019-11-30 23:59:59.999,154.14000000,155.22000000,149.88000000,151.55000000,442.06175000
2019-12-01 23:59:59.999,150.76000000,152.38000000,145.93000000,150.90000000,561.55426000
2019-12-02 23:59:59.999,151.12000000,151.25000000,146.84000000,148.70000000,641.55738000
2019-12-03 23:59:59.999,148.92000000,149.82000000,145.74000000,147.06000000,744.79843000
2019-12-04 23:59:59.999,147.17000000,151.89000000,143.48000000,145.44000000,921.68088000
2019-12-05 23:59:59.999,145.58000000,148.89000000,143.89000000,147.56000000,890.55461000
2019-12-06 23:59:59.999,148.23000000,149.40000000,146.06000000,148.49000000,337.45329000
2019-12-07 23:59:59.999,148.34000000,149.29000000,146.99000000,147.21000000,171.18076000
2019-12-08 23:59:59.999,147.00000000,151.52000000,146.35000000,150.39000000,385.42813000
2019-12-09 23:59:59.999,150.47000000,151.04000000,146.77000000,147.42000000,411.52470000
2019-12-10 23:59:59.999,147.28000000,148.25000000,143.91000000,145.62000000,486.60485000
2019-12-11 23:59:59.999,145.51000000,146.27000000,142.33000000,143.40000000,383.07693000
2019-12-12 23:59:59.999,143.52000000,145.82000000,139.27000000,144.88000000,304.79891000
2019-12-13 23:59:59.999,145.16000000,145.27000000,143.05000000,144.71000000,491.84718000
2019-12-14 23:59:59.999,144.83000000,145.07000000,141.32000000,141.80000000,296.88640000
2019-12-15 23:59:59.999,141.88000000,143.81000000,139.97000000,142.43000000,431.25341000
2019-12-16 23:59:59.999,142.30000000,142.41000000,130.17000000,132.58000000,2088.51785000
2019-12-17 23:59:59.999,132.70000000,132.87000000,119.94000000,121.98000000,1000.33522000
2019-12-18 23:59:59.999,122.09000000,134.21000000,116.39000000,132.69000000,1427.53930000
2019-12-19 23:59:59.999,133.06000000,134.49000000,125.83000000,128.16000000,687.98806000
2019-12-20 23:59:59.999,128.35000000,129.19000000,125.94000000,128.26000000,190.01350000
2019-12-21 23:59:59.999,128.36000000,128.36000000,126.91000000,127.04000000,79.55353000
2019-12-22 23:59:59.999,127.07000000,133.04000000,126.90000000,132.14000000,620.86477000
2019-12-23 23:59:59.999,132.66000000,135.14000000,126.36000000,128.21000000,311.06964000
2019-12-24 23:59:59.999,127.91000000,129.69000000,126.85000000,127.87000000,196.16299000
2019-12-25 23:59:59.999,127.87000000,127.87000000,123.64000000,125.08000000,181.18960000
2019-12-26 23:59:59.999,125.08000000,131.99000000,124.54000000,125.61000000,267.52029000
2019-12-27 23:59:59.999,125.47000000,126.89000000,123.00000000,126.26000000,180.92747000
2019-12-28 23:59:59.999,126.92000000,129.53000000,126.85000000,128.49000000,88.33989000
2019-12-29 23:59:59.999,127.95000000,137.86000000,127.88000000,135.07000000,219.23223000
2019-12-30 23:59:59.999,133.79000000,136.21000000,130.42000000,131.51000000,365.35289000
2019-12-31 23:59:59.999,131.52000000,133.29000000,128.28000000,129.25000000,526.84437000
2020-01-01 23:59:59.999,128.93000000,132.93000000,128.82000000,130.52000000,419.85641000
2020-01-02 23:59:59.999,130.42000000,130.53000000,126.66000000,127.22000000,298.29122000
2020-01-03 23:59:59.999,127.08000000,134.88000000,126.06000000,133.95000000,513.53291000
2020-01-04 23:59:59.999,134.79000000,135.83000000,132.68000000,134.02000000,87.49993000
2020-01-05 23:59:59.999,134.84000000,138.51000000,134.39000000,135.23000000,275.28558000
2020-01-06 23:59:59.999,135.24000000,144.52000000,135.24000000,143.98000000,624.32469000
2020-01-07 23:59:59.999,144.55000000,145.40000000,138.99000000,142.89000000,1476.11643000
2020-01-08 23:59:59.999,142.94000000,147.78000000,137.55000000,140.89000000,710.02555000
2020-01-09 23:59:59.999,140.51000000,141.36000000,135.63000000,138.08000000,510.43894000
2020-01-10 23:59:59.999,137.71000000,144.85000000,135.59000000,144.32000000,1092.59512000
2020-01-11 23:59:59.999,144.24000000,147.69000000,142.15000000,142.74000000,296.22261000
2020-01-12 23:59:59.999,142.01000000,146.12000000,141.96000000,146.07000000,250.31463000
